id_venta,nombre_pelicula,dia,horario,sala,cantidad_entradas
1,Mapa,3,13:07:00,4,27
2,Like Someone in Love,4,13:06:00,1,11
3,Vic+Flo ont vu un ours,4,00:32:00,3,18
4,Al fin llegó el amor,2,23:22:00,4,16
5,Ricardo Bí¤r,5,05:29:00,4,2
6,Corea,5,07:51:00,2,30
7,Joven y alocada,5,19:16:00,4,12
8,Dad,1,17:52:00,2,23
9,The Scorsese Machine,1,13:14:00,4,2
10,Carbon,3,07:56:00,1,3
11,Orléans,1,07:34:00,3,20
12,Men in the Ring,3,15:43:00,3,31
13,El loro y el cisne,6,20:25:00,1,3
14,Il Gemello,1,14:06:00,1,11
15,John Cassavetes,1,14:44:00,3,12
16,La banda que buscó el sonido debajo,2,16:04:00,5,10
17,Un sueÃ±o  recurrente,4,06:15:00,2,7
18,O anjo nasceu,6,04:56:00,3,26
19,Citadel,5,14:54:00,2,38
20,Tale of Cinema,6,09:33:00,1,14
21,A Story for the Modlins,3,20:10:00,1,22
22,Lazos perversos,3,09:56:00,3,4
23,Visiting our neighbours,5,21:22:00,3,4
24,AB,6,11:29:00,5,28
25,Bob Wilson's Life & Death of Marina Abramovic,6,21:57:00,1,29
26,Hahaha,4,17:02:00,1,15
27,Tchoupitoulas,2,21:32:00,1,12
28,Post Tenebras Lux,3,16:25:00,2,3
29,No olvidar,4,09:53:00,1,3
30,The Dark Side of the Moon,2,18:07:00,4,8
31,Berlin Horse,1,04:53:00,5,16
32,Caspinchango,2,23:36:00,4,1
33,Rodencia y el diente  de la princesa,2,07:43:00,4,4
34,Z.U.G.A.,4,14:55:00,1,4
35,Moon Man,2,23:39:00,1,6
36,Concrete forms,5,18:58:00,5,39
37,Noche,6,20:52:00,4,6
38,Nyosha,2,04:05:00,1,25
39,Hahaha,5,18:51:00,3,26
40,Family Holiday,5,15:40:00,4,20
41,AÃ±os de calle,6,06:01:00,1,8
42,El estudiante,4,02:17:00,1,30
43,The ABCs of Death,2,14:21:00,1,30
44,Nyosha,6,22:28:00,1,29
45,Gebo et l'ombre,5,18:38:00,3,13
46,Hawaii,1,19:52:00,2,22
47,Metamorphosen,3,12:44:00,3,34
48,O gigante da América,3,19:42:00,4,20
49,Na vibración,5,05:02:00,2,31
50,Meeting Leila,2,23:08:00,3,19
51,David Lynch: Don't Look at Me,2,16:15:00,4,22
52,Aguamadre,5,15:05:00,5,26
53,Like Someone in Love,2,08:43:00,3,8
54,Volar,5,07:43:00,1,10
55,SueÃ±os de hielo,2,03:29:00,1,25
56,Tres cortos isralí­es,3,08:26:00,1,9
57,Taller de flamenco,2,04:37:00,2,38
58,The Silent Star,1,09:27:00,5,35
59,Au bout du conte,6,01:07:00,4,7
60,Dad,1,15:08:00,3,1
61,La gente del rí­o,5,09:42:00,3,6
62,salvata dai filibustieri,2,12:11:00,1,34
63,Ovos de dinossauro  na sala de estar,2,15:44:00,3,33
64,Chiri/Trace,1,12:20:00,5,30
65,Moon Man,1,21:15:00,1,3
66,She Performs!,4,12:26:00,5,2
67,El gran simulador,5,11:44:00,3,26
68,Katzenhimmel,2,21:56:00,3,20
69,Mouth Wide Open,3,14:06:00,3,8
70,Cortos de Kurdwin Ayub,4,20:26:00,5,4
71,MontaÃ±a en sombra,4,09:01:00,3,5
72,La discoteca del amor,5,09:15:00,1,35
73,Monuments,1,16:00:00,5,5
74,More Than Honey,6,09:11:00,5,31
75,In Another Country,2,13:39:00,4,22
76,Bob Wilson's Life & Death of Marina Abramovic,2,19:39:00,4,7
77,El Olimpo vací­o,6,16:49:00,2,13
78,As ondas,4,23:27:00,2,22
79,MontaÃ±a en sombra,3,10:20:00,5,16
80,Kiltro,5,04:47:00,5,16
81,Woman Is the Future of Man,6,06:45:00,2,5
82,Hahaha,1,21:30:00,2,23
83,De occulta philosophia,6,10:17:00,5,37
84,Reconversí£o,1,05:10:00,1,1
85,Hasenzahn,1,13:26:00,1,4
86,Adele 1,2,01:03:00,2,30
87,Chiri/Trace,5,12:14:00,1,14
88,Metamorphosen,2,01:17:00,1,11
89,Radiografí­a del desierto,4,00:29:00,2,36
90,O som ao redor,1,14:21:00,4,9
91,El último asado,3,01:27:00,2,33
92,El gran simulador,1,09:25:00,5,37
93,A erva do rato,2,13:35:00,2,32
94,La república perdida,3,08:24:00,2,2
95,Beatriz Portinari. Un documental sobre  Aurora Venturini,3,15:25:00,1,9
96,The Punk Syndrome,1,11:44:00,1,23
97,Lazos perversos,4,14:15:00,4,3
98,El dí­a trajo la oscuridad,2,00:26:00,2,25
99,Meeting Leila,4,20:47:00,4,36
100,Paul Williams Still Alive,4,01:01:00,1,33
101,Winter,3,07:57:00,2,26
102,Kiltro,3,17:18:00,1,33
103,La playa del amor,3,22:08:00,2,12
104,Anina,2,21:55:00,1,13
105,Bernadette,2,00:12:00,3,13
106,In Search of Blind Joe Death - The Saga of John Fahey,4,06:24:00,2,20
107,My First Mountain,1,13:45:00,5,39
108,Woman Is the Future of Man,1,20:52:00,2,31
109,Al fin llegó el amor,4,20:07:00,3,40
110,The Day a Pig Fell into a Well,6,15:15:00,4,12
111,Ovos de dinossauro  na sala de estar,6,15:28:00,2,1
112,Death Metal Angola,4,10:58:00,4,7
113,Woman Is the Future of Man,4,12:28:00,2,37
114,Nyosha,2,13:56:00,4,29
115,Museum Hours,5,01:13:00,1,20
116,Deshora,1,22:47:00,1,10
117,Rodencia y el diente  de la princesa,5,11:36:00,3,14
118,Much Ado About Nothing,4,01:28:00,1,35
119,Mekong Hotel,1,01:06:00,3,27
120,Las calles de mi ciudad,5,21:12:00,1,19
121,Marina Abramovic: The Artist Is Present,3,23:07:00,5,8
122,Mekong Hotel,5,00:50:00,1,24
123,Antonio Gil,2,00:13:00,5,16
124,Neón,3,11:59:00,1,23
125,Family Holiday,6,15:09:00,5,18
126,Peaches Does Herself,1,15:17:00,5,20
127,Falls Burns Malone Fiddles,2,01:45:00,3,20
128,Imágenes Paganas,5,00:35:00,5,12
129,Lazos perversos,5,14:49:00,1,40
130,Joyful Girl,4,02:33:00,3,5
131,The Town of Whales,2,10:54:00,3,10
132,VidaExtra,6,07:22:00,5,40
133,La casa del sol naciente,3,00:55:00,2,20
134,Nyosha,1,00:22:00,1,23
135,Disparos,5,01:49:00,3,13
136,La mosca,5,09:18:00,2,6
137,El aÃ±o pasado en Mardelplá,6,23:52:00,1,31
138,Paisaje-Duración  (Carretera / Rocas),1,16:40:00,2,17
139,Paisaje-Duración  (Carretera / Rocas),6,14:36:00,4,7
140,Mujer lobo,6,21:56:00,1,39
141,Mapa,2,01:13:00,2,26
142,TPB AFK: The Pirate Bay Away From Keyboard,4,08:36:00,3,20
143,Sí¼den,5,14:21:00,5,3
144,Chicama,3,06:35:00,4,39
145,Tan de repente,6,02:48:00,5,10
146,Chiri/Trace,4,23:18:00,5,8
147,Habi,1,13:09:00,1,19
148,Jimmy's End,5,05:11:00,3,28
149,Avanti popolo,5,15:17:00,5,20
150,Trapero x 3,2,23:20:00,4,11
151,Ouvir o rio: Uma escultura sonora de Cildo Meireles,1,05:01:00,2,7
152,Zona mutante,3,00:49:00,1,13
153,Eu receberia as piores notí­cias dos seus lindos lábios,6,14:30:00,2,21
154,El árbol,1,15:01:00,5,37
155,Oki's Movie,2,18:42:00,4,34
156,Le Monde est comme í§a,6,05:05:00,2,26
157,Las calles de mi ciudad,5,01:37:00,3,7
158,A última vez que vi Macau,5,23:10:00,4,27
159,Brás Cubas,5,15:30:00,1,30
160,Sinais de serenidade por coisas sem sentido,3,13:03:00,5,7
161,La mamá de mi abuela le contó a mi abuela,6,23:10:00,3,5
162,Viola,4,19:18:00,1,39
163,La banda que buscó el sonido debajo,2,18:52:00,2,17
164,Lugares comunes,1,18:00:00,3,38
165,Tanta agua,6,20:00:00,5,17
166,Hijas del rí­o,6,11:03:00,3,36
167,Sleepless Nights Stories,2,07:46:00,3,37
168,Enjoy Yourself,1,14:52:00,1,13
169,El club de los cinco,4,09:11:00,1,28
170,Ekpyrosis,6,21:06:00,1,11
171,Ears Shut Tight,3,03:21:00,4,11
172,La república perdida,2,19:56:00,3,34
173,El Olimpo vací­o,2,06:36:00,4,2
174,Here's looking at you,6,07:14:00,4,21
175,The Scorsese Machine,1,18:43:00,5,36
176,I Catch a Terrible Cat,1,20:01:00,3,38
177,Langsam Reiten Cowboy,1,16:25:00,1,10
178,Reconversí£o,2,14:49:00,2,27
179,Oh Yeah,3,05:10:00,1,30
180,La mamá de mi abuela le contó a mi abuela,5,13:57:00,1,2
181,Concrete forms,1,15:50:00,1,20
182,La libertad,6,20:35:00,4,34
183,Doméstica,5,01:27:00,2,8
184,El rey de EspaÃ±a,4,18:23:00,3,16
185,Katzenhimmel,4,07:40:00,5,39
186,El universo de Escher,1,08:04:00,2,22
187,De occulta philosophia,3,21:29:00,2,16
188,La banda que buscó el sonido debajo,6,02:47:00,5,7
189,Tan de repente,4,11:34:00,2,29
190,La toma,1,12:33:00,1,17
191,Kiltro,6,07:40:00,5,11
192,La guerra dei vulcani,3,14:28:00,3,5
193,Revolución tóxica,1,05:46:00,1,15
194,El estudiante,6,23:20:00,4,20
195,Anina,1,14:26:00,1,13
196,Roma,2,04:37:00,1,4
197,Velleza,2,11:59:00,3,23
198,Rodencia y el diente  de la princesa,3,09:35:00,5,17
199,El corazón del roble,2,20:44:00,1,33
200,Dias de Nietzsche em Turim,4,18:29:00,4,6
201,Nyosha,5,14:55:00,2,9
202,Una familia gay,2,11:42:00,5,7
203,Fogo,3,18:18:00,5,2
204,Make It New John,2,14:11:00,1,24
205,Charlas de Taj Mahal,2,16:45:00,2,11
206,Vamps,2,02:19:00,1,12
207,Sinais de serenidade por coisas sem sentido,2,20:18:00,1,33
208,Tráiganme la cabeza de la mujer metralleta,2,15:16:00,3,34
209,The Shine of Day,3,16:29:00,1,23
210,Mandrill,4,00:28:00,5,3
211,Na vibración,1,16:12:00,2,25
212,Neón,1,15:03:00,2,17
213,Here's looking at you,2,10:59:00,3,31
214,Tango de una noche  de verano,6,10:27:00,2,9
215,Museum Hours,3,13:27:00,5,7
216,Revolución tóxica,1,17:17:00,1,23
217,La playa de México,1,02:54:00,5,16
218,Taller de flamenco,2,02:08:00,5,24
219,Romance Joe,2,15:46:00,5,5
220,La mosca,5,07:16:00,5,8
221,Barroco,6,02:06:00,1,20
222,Call Girl,1,09:27:00,1,9
223,Alunizar,3,23:28:00,1,36
224,No olvidar,5,16:20:00,5,9
225,A Story for the Modlins,2,07:15:00,3,33
226,More Than Honey,2,04:27:00,4,34
227,Butoh,6,20:37:00,2,9
